"","Country.","Sex","Field","Level.of.education","Year.","Value"
"92","Austria","Men","Humanities and arts","2-year college",2005,NA
"93","Austria","Women","Humanities and arts","Bachelor's",2005,60.8
"94","Austria","Men","Humanities and arts","Bachelor's",2005,39.2
"95","Austria","Women","Humanities and arts","Master's",2005,65
"96","Austria","Men","Humanities and arts","Master's",2005,35
"97","Austria","Women","Humanities and arts","Doctoral",2005,48.7
"98","Austria","Men","Humanities and arts","Doctoral",2005,51.3
"99","Austria","Women","Humanities and arts","Total tertiary",2005,NA
"100","Austria","Men","Humanities and arts","Total tertiary",2005,NA
"101","Austria","Women","Social sciences, business and law","2-year college",2005,NA
"102","Austria","Men","Social sciences, business and law","2-year college",2005,NA
"103","Austria","Women","Social sciences, business and law","Bachelor's",2005,62.6
"104","Austria","Men","Social sciences, business and law","Bachelor's",2005,37.4
"105","Austria","Women","Social sciences, business and law","Master's",2005,56.4
"106","Austria","Men","Social sciences, business and law","Master's",2005,43.6
"107","Austria","Women","Social sciences, business and law","Doctoral",2005,46.4
"108","Austria","Men","Social sciences, business and law","Doctoral",2005,53.6
"109","Austria","Women","Social sciences, business and law","Total tertiary",2005,NA
"110","Austria","Men","Social sciences, business and law","Total tertiary",2005,NA
"111","Austria","Women","Science, mathematics and computing","2-year college",2005,NA
"112","Austria","Men","Science, mathematics and computing","2-year college",2005,NA
"113","Austria","Women","Science, mathematics and computing","Bachelor's",2005,30.9
"114","Austria","Men","Science, mathematics and computing","Bachelor's",2005,69.1
"115","Austria","Women","Science, mathematics and computing","Master's",2005,37.2
"116","Austria","Men","Science, mathematics and computing","Master's",2005,62.8
"117","Austria","Women","Science, mathematics and computing","Doctoral",2005,38.7
"118","Austria","Men","Science, mathematics and computing","Doctoral",2005,61.3
"119","Austria","Women","Science, mathematics and computing","Total tertiary",2005,NA
"120","Austria","Men","Science, mathematics and computing","Total tertiary",2005,NA
"121","Austria","Women","Engineering, manufacturing and construction","2-year college",2005,NA
"122","Austria","Men","Engineering, manufacturing and construction","2-year college",2005,NA
"123","Austria","Women","Engineering, manufacturing and construction","Bachelor's",2005,15.4
"124","Austria","Men","Engineering, manufacturing and construction","Bachelor's",2005,84.6
"125","Austria","Women","Engineering, manufacturing and construction","Master's",2005,20.2
"126","Austria","Men","Engineering, manufacturing and construction","Master's",2005,79.8
"127","Austria","Women","Engineering, manufacturing and construction","Doctoral",2005,23.5
"128","Austria","Men","Engineering, manufacturing and construction","Doctoral",2005,76.5
"129","Austria","Women","Engineering, manufacturing and construction","Total tertiary",2005,NA
"130","Austria","Men","Engineering, manufacturing and construction","Total tertiary",2005,NA
"131","Austria","Women","Agriculture and veterinary","2-year college",2005,NA
"132","Austria","Men","Agriculture and veterinary","2-year college",2005,NA
"133","Austria","Women","Agriculture and veterinary","Bachelor's",2005,55.6
"134","Austria","Men","Agriculture and veterinary","Bachelor's",2005,44.4
"135","Austria","Women","Agriculture and veterinary","Master's",2005,57.4
"136","Austria","Men","Agriculture and veterinary","Master's",2005,42.6
"137","Austria","Women","Agriculture and veterinary","Doctoral",2005,66
"138","Austria","Men","Agriculture and veterinary","Doctoral",2005,34
"139","Austria","Women","Agriculture and veterinary","Total tertiary",2005,NA
"140","Austria","Men","Agriculture and veterinary","Total tertiary",2005,NA
"141","Austria","Women","Health and Welfare","2-year college",2005,NA
"142","Austria","Men","Health and Welfare","2-year college",2005,NA
"143","Austria","Women","Health and Welfare","Bachelor's",2005,92.8
"144","Austria","Men","Health and Welfare","Bachelor's",2005,7.2
"145","Austria","Women","Health and Welfare","Master's",2005,62.3
"146","Austria","Men","Health and Welfare","Master's",2005,37.7
"147","Austria","Women","Health and Welfare","Doctoral",2005,59.4
"148","Austria","Men","Health and Welfare","Doctoral",2005,40.6
"149","Austria","Women","Health and Welfare","Total tertiary",2005,NA
"150","Austria","Men","Health and Welfare","Total tertiary",2005,NA
"151","Austria","Women","Services","2-year college",2005,NA
"152","Austria","Men","Services","2-year college",2005,NA
"153","Austria","Women","Services","Bachelor's",2005,27
"154","Austria","Men","Services","Bachelor's",2005,73
"155","Austria","Women","Services","Master's",2005,48.3
"156","Austria","Men","Services","Master's",2005,51.7
"157","Austria","Women","Services","Doctoral",2005,36.4
"158","Austria","Men","Services","Doctoral",2005,63.6
"159","Austria","Women","Services","Total tertiary",2005,NA
"160","Austria","Men","Services","Total tertiary",2005,NA
"161","Belgium","Women","Education","Bachelor's",2005,NA
"162","Belgium","Men","Education","Bachelor's",2005,NA
"163","Belgium","Women","Education","Master's",2005,NA
"164","Belgium","Men","Education","Master's",2005,NA
"165","Belgium","Women","Education","Doctoral",2005,NA
"166","Belgium","Men","Education","Doctoral",2005,NA
"167","Belgium","Women","Education","Total tertiary",2005,NA
"168","Belgium","Men","Education","Total tertiary",2005,NA
"169","Belgium","Women","Humanities and arts","Bachelor's",2005,NA
"170","Belgium","Men","Humanities and arts","Bachelor's",2005,NA
"171","Belgium","Women","Humanities and arts","Master's",2005,NA
"172","Belgium","Men","Humanities and arts","Master's",2005,NA
"173","Belgium","Women","Humanities and arts","Doctoral",2005,NA
"174","Belgium","Men","Humanities and arts","Doctoral",2005,NA
"175","Belgium","Women","Humanities and arts","Total tertiary",2005,NA
"176","Belgium","Men","Humanities and arts","Total tertiary",2005,NA
"177","Belgium","Women","Social sciences, business and law","Bachelor's",2005,NA
"178","Belgium","Men","Social sciences, business and law","Bachelor's",2005,NA
"179","Belgium","Women","Social sciences, business and law","Master's",2005,NA
"180","Belgium","Men","Social sciences, business and law","Master's",2005,NA
"181","Belgium","Women","Social sciences, business and law","Doctoral",2005,NA
"182","Belgium","Men","Social sciences, business and law","Doctoral",2005,NA
"183","Belgium","Women","Social sciences, business and law","Total tertiary",2005,NA
"184","Belgium","Men","Social sciences, business and law","Total tertiary",2005,NA
"185","Belgium","Women","Science, mathematics and computing","Bachelor's",2005,NA
"186","Belgium","Men","Science, mathematics and computing","Bachelor's",2005,NA
"187","Belgium","Women","Science, mathematics and computing","Master's",2005,NA
"188","Belgium","Men","Science, mathematics and computing","Master's",2005,NA
"189","Belgium","Women","Science, mathematics and computing","Doctoral",2005,NA
"190","Belgium","Men","Science, mathematics and computing","Doctoral",2005,NA
"191","Belgium","Women","Science, mathematics and computing","Total tertiary",2005,NA
"192","Belgium","Men","Science, mathematics and computing","Total tertiary",2005,NA
"193","Belgium","Women","Engineering, manufacturing and construction","Bachelor's",2005,NA
"194","Belgium","Men","Engineering, manufacturing and construction","Bachelor's",2005,NA
"195","Belgium","Women","Engineering, manufacturing and construction","Master's",2005,NA
"196","Belgium","Men","Engineering, manufacturing and construction","Master's",2005,NA
"197","Belgium","Women","Engineering, manufacturing and construction","Doctoral",2005,NA
"198","Belgium","Men","Engineering, manufacturing and construction","Doctoral",2005,NA
"199","Belgium","Women","Engineering, manufacturing and construction","Total tertiary",2005,NA
"200","Belgium","Men","Engineering, manufacturing and construction","Total tertiary",2005,NA
"201","Belgium","Women","Agriculture and veterinary","Bachelor's",2005,NA
"202","Belgium","Men","Agriculture and veterinary","Bachelor's",2005,NA
"203","Belgium","Women","Agriculture and veterinary","Master's",2005,NA
"204","Belgium","Men","Agriculture and veterinary","Master's",2005,NA
"205","Belgium","Women","Agriculture and veterinary","Doctoral",2005,NA
"206","Belgium","Men","Agriculture and veterinary","Doctoral",2005,NA
"207","Belgium","Women","Agriculture and veterinary","Total tertiary",2005,NA
"208","Belgium","Men","Agriculture and veterinary","Total tertiary",2005,NA
"209","Belgium","Women","Health and Welfare","2-year college",2005,NA
"210","Belgium","Men","Health and Welfare","2-year college",2005,NA
"211","Belgium","Women","Health and Welfare","Bachelor's",2005,NA
"212","Belgium","Men","Health and Welfare","Bachelor's",2005,NA
"213","Belgium","Women","Health and Welfare","Master's",2005,NA
"214","Belgium","Men","Health and Welfare","Master's",2005,NA
"215","Belgium","Women","Health and Welfare","Doctoral",2005,NA
"216","Belgium","Men","Health and Welfare","Doctoral",2005,NA
"217","Belgium","Women","Health and Welfare","Total tertiary",2005,NA
"218","Belgium","Men","Health and Welfare","Total tertiary",2005,NA
"219","Belgium","Women","Services","Bachelor's",2005,NA
"220","Belgium","Men","Services","Bachelor's",2005,NA
"221","Belgium","Women","Services","Master's",2005,NA
"222","Belgium","Men","Services","Master's",2005,NA
"223","Belgium","Women","Services","Doctoral",2005,NA
"224","Belgium","Men","Services","Doctoral",2005,NA
"225","Belgium","Women","Services","Total tertiary",2005,NA
"226","Belgium","Men","Services","Total tertiary",2005,NA
"227","Canada","Women","Education","2-year college",2005,81.4
"228","Canada","Men","Education","2-year college",2005,18.6
"229","Canada","Women","Education","Bachelor's",2005,76.7
"230","Canada","Men","Education","Bachelor's",2005,23.3
"231","Canada","Women","Education","Master's",2005,74.8
"232","Canada","Men","Education","Master's",2005,25.2
"233","Canada","Women","Education","Doctoral",2005,66.7
"234","Canada","Men","Education","Doctoral",2005,33.3
"235","Canada","Women","Education","Total tertiary",2005,76.9
"236","Canada","Men","Education","Total tertiary",2005,23.1
"237","Canada","Women","Humanities and arts","2-year college",2005,63.5
"238","Canada","Men","Humanities and arts","2-year college",2005,36.5
"239","Canada","Women","Humanities and arts","Bachelor's",2005,65.9
"240","Canada","Men","Humanities and arts","Bachelor's",2005,34.1
"241","Canada","Women","Humanities and arts","Master's",2005,59.7
"242","Canada","Men","Humanities and arts","Master's",2005,40.3
"243","Canada","Women","Humanities and arts","Doctoral",2005,49.1
"244","Canada","Men","Humanities and arts","Doctoral",2005,50.9
"245","Canada","Women","Humanities and arts","Total tertiary",2005,64.5
"246","Canada","Men","Humanities and arts","Total tertiary",2005,35.5
"247","Canada","Women","Social sciences, business and law","2-year college",2005,65.9
"248","Canada","Men","Social sciences, business and law","2-year college",2005,34.1
"249","Canada","Women","Social sciences, business and law","Bachelor's",2005,61
"250","Canada","Men","Social sciences, business and law","Bachelor's",2005,39
"251","Canada","Women","Social sciences, business and law","Master's",2005,49.2
"252","Canada","Men","Social sciences, business and law","Master's",2005,50.8
"253","Canada","Women","Social sciences, business and law","Doctoral",2005,58.9
"254","Canada","Men","Social sciences, business and law","Doctoral",2005,41.1
"255","Canada","Women","Social sciences, business and law","Total tertiary",2005,60.3
"256","Canada","Men","Social sciences, business and law","Total tertiary",2005,39.7
"257","Canada","Women","Science, mathematics and computing","2-year college",2005,28.9
"258","Canada","Men","Science, mathematics and computing","2-year college",2005,71.1
"259","Canada","Women","Science, mathematics and computing","Bachelor's",2005,48.3
"260","Canada","Men","Science, mathematics and computing","Bachelor's",2005,51.7
"261","Canada","Women","Science, mathematics and computing","Master's",2005,45.5
"262","Canada","Men","Science, mathematics and computing","Master's",2005,54.5
"263","Canada","Women","Science, mathematics and computing","Doctoral",2005,37.7
"264","Canada","Men","Science, mathematics and computing","Doctoral",2005,62.3
"265","Canada","Women","Science, mathematics and computing","Total tertiary",2005,44.6
"266","Canada","Men","Science, mathematics and computing","Total tertiary",2005,55.4
"267","Canada","Women","Engineering, manufacturing and construction","2-year college",2005,14.6
"268","Canada","Men","Engineering, manufacturing and construction","2-year college",2005,85.4
"269","Canada","Women","Engineering, manufacturing and construction","Bachelor's",2005,23.9
"270","Canada","Men","Engineering, manufacturing and construction","Bachelor's",2005,76.1
"271","Canada","Women","Engineering, manufacturing and construction","Master's",2005,28.6
"272","Canada","Men","Engineering, manufacturing and construction","Master's",2005,71.4
"273","Canada","Women","Engineering, manufacturing and construction","Doctoral",2005,17.1
"274","Canada","Men","Engineering, manufacturing and construction","Doctoral",2005,82.9
"275","Canada","Women","Engineering, manufacturing and construction","Total tertiary",2005,20.8
"276","Canada","Men","Engineering, manufacturing and construction","Total tertiary",2005,79.2
"277","Canada","Women","Agriculture and veterinary","2-year college",2005,54.7
"278","Canada","Men","Agriculture and veterinary","2-year college",2005,45.3
"279","Canada","Women","Agriculture and veterinary","Bachelor's",2005,60.8
"280","Canada","Men","Agriculture and veterinary","Bachelor's",2005,39.2
"281","Canada","Women","Agriculture and veterinary","Master's",2005,52.5
"282","Canada","Men","Agriculture and veterinary","Master's",2005,47.5
"283","Canada","Women","Agriculture and veterinary","Doctoral",2005,42.5
"284","Canada","Men","Agriculture and veterinary","Doctoral",2005,57.5
"285","Canada","Women","Agriculture and veterinary","Total tertiary",2005,56.1
"286","Canada","Men","Agriculture and veterinary","Total tertiary",2005,43.9
"287","Canada","Women","Health and Welfare","2-year college",2005,87.5
"288","Canada","Men","Health and Welfare","2-year college",2005,12.5
"289","Canada","Women","Health and Welfare","Bachelor's",2005,84
"290","Canada","Men","Health and Welfare","Bachelor's",2005,16
"291","Canada","Women","Health and Welfare","Master's",2005,84.1
"292","Canada","Men","Health and Welfare","Master's",2005,15.9
"293","Canada","Women","Health and Welfare","Doctoral",2005,59.2
"294","Canada","Men","Health and Welfare","Doctoral",2005,40.8
"295","Canada","Women","Health and Welfare","Total tertiary",2005,85.5
"296","Canada","Men","Health and Welfare","Total tertiary",2005,14.5
"297","Canada","Women","Services","2-year college",2005,42.5
"298","Canada","Men","Services","2-year college",2005,57.5
"299","Canada","Women","Services","Bachelor's",2005,60
"300","Canada","Men","Services","Bachelor's",2005,40
"301","Canada","Women","Services","Master's",2005,56.3
"302","Canada","Men","Services","Master's",2005,43.7
"303","Canada","Women","Services","Doctoral",2005,40
"304","Canada","Men","Services","Doctoral",2005,60
"305","Canada","Women","Services","Total tertiary",2005,50.7
"306","Canada","Men","Services","Total tertiary",2005,49.3
"307","Czech Republic","Women","Education","Bachelor's",2005,NA
"308","Czech Republic","Men","Education","Bachelor's",2005,NA
"309","Czech Republic","Women","Education","Master's",2005,NA
"310","Czech Republic","Men","Education","Master's",2005,NA
"311","Czech Republic","Women","Education","Doctoral",2005,59.8
"312","Czech Republic","Men","Education","Doctoral",2005,40.2
"313","Czech Republic","Women","Education","Total tertiary",2005,NA
"314","Czech Republic","Men","Education","Total tertiary",2005,NA
"315","Czech Republic","Women","Humanities and arts","2-year college",2005,NA
"316","Czech Republic","Men","Humanities and arts","2-year college",2005,NA
"317","Czech Republic","Women","Humanities and arts","Bachelor's",2005,NA
"318","Czech Republic","Men","Humanities and arts","Bachelor's",2005,NA
"319","Czech Republic","Women","Humanities and arts","Master's",2005,NA
"320","Czech Republic","Men","Humanities and arts","Master's",2005,NA
"321","Czech Republic","Women","Humanities and arts","Doctoral",2005,45.4
"322","Czech Republic","Men","Humanities and arts","Doctoral",2005,54.6
"323","Czech Republic","Women","Humanities and arts","Total tertiary",2005,NA
"324","Czech Republic","Men","Humanities and arts","Total tertiary",2005,NA
"325","Czech Republic","Women","Social sciences, business and law","Bachelor's",2005,NA
"326","Czech Republic","Men","Social sciences, business and law","Bachelor's",2005,NA
"327","Czech Republic","Women","Social sciences, business and law","Master's",2005,NA
"328","Czech Republic","Men","Social sciences, business and law","Master's",2005,NA
"329","Czech Republic","Women","Social sciences, business and law","Doctoral",2005,41.2
"330","Czech Republic","Men","Social sciences, business and law","Doctoral",2005,58.8
"331","Czech Republic","Women","Social sciences, business and law","Total tertiary",2005,NA
"332","Czech Republic","Men","Social sciences, business and law","Total tertiary",2005,NA
"333","Czech Republic","Women","Science, mathematics and computing","Bachelor's",2005,NA
"334","Czech Republic","Men","Science, mathematics and computing","Bachelor's",2005,NA
"335","Czech Republic","Women","Science, mathematics and computing","Master's",2005,NA
"336","Czech Republic","Men","Science, mathematics and computing","Master's",2005,NA
"337","Czech Republic","Women","Science, mathematics and computing","Doctoral",2005,34.4
"338","Czech Republic","Men","Science, mathematics and computing","Doctoral",2005,65.6
"339","Czech Republic","Women","Science, mathematics and computing","Total tertiary",2005,NA
"340","Czech Republic","Men","Science, mathematics and computing","Total tertiary",2005,NA
"341","Czech Republic","Women","Engineering, manufacturing and construction","Bachelor's",2005,NA
"342","Czech Republic","Men","Engineering, manufacturing and construction","Bachelor's",2005,NA
"343","Czech Republic","Women","Engineering, manufacturing and construction","Master's",2005,NA
"344","Czech Republic","Men","Engineering, manufacturing and construction","Master's",2005,NA
"345","Czech Republic","Women","Engineering, manufacturing and construction","Doctoral",2005,17.5
"346","Czech Republic","Men","Engineering, manufacturing and construction","Doctoral",2005,82.5
"347","Czech Republic","Women","Engineering, manufacturing and construction","Total tertiary",2005,NA
"348","Czech Republic","Men","Engineering, manufacturing and construction","Total tertiary",2005,NA
"349","Czech Republic","Women","Agriculture and veterinary","Bachelor's",2005,NA
"350","Czech Republic","Men","Agriculture and veterinary","Bachelor's",2005,NA
"351","Czech Republic","Women","Agriculture and veterinary","Master's",2005,NA
"352","Czech Republic","Men","Agriculture and veterinary","Master's",2005,NA
"353","Czech Republic","Women","Agriculture and veterinary","Doctoral",2005,41.7
"354","Czech Republic","Men","Agriculture and veterinary","Doctoral",2005,58.3
"355","Czech Republic","Women","Agriculture and veterinary","Total tertiary",2005,NA
"356","Czech Republic","Men","Agriculture and veterinary","Total tertiary",2005,NA
"357","Czech Republic","Women","Health and Welfare","Bachelor's",2005,NA
"358","Czech Republic","Men","Health and Welfare","Bachelor's",2005,NA
"359","Czech Republic","Women","Health and Welfare","Master's",2005,NA
"360","Czech Republic","Men","Health and Welfare","Master's",2005,NA
"361","Czech Republic","Women","Health and Welfare","Doctoral",2005,41.9
"362","Czech Republic","Men","Health and Welfare","Doctoral",2005,58.1
"363","Czech Republic","Women","Health and Welfare","Total tertiary",2005,NA
"364","Czech Republic","Men","Health and Welfare","Total tertiary",2005,NA
"365","Czech Republic","Women","Services","Bachelor's",2005,NA
"366","Czech Republic","Men","Services","Bachelor's",2005,NA
"367","Czech Republic","Women","Services","Master's",2005,NA
"368","Czech Republic","Men","Services","Master's",2005,NA
"369","Czech Republic","Women","Services","Doctoral",2005,38.6
"370","Czech Republic","Men","Services","Doctoral",2005,61.4
"371","Czech Republic","Women","Services","Total tertiary",2005,NA
"372","Czech Republic","Men","Services","Total tertiary",2005,NA
"373","Denmark","Women","Education","2-year college",2005,92.3
"374","Denmark","Men","Education","2-year college",2005,7.7
"375","Denmark","Women","Education","Bachelor's",2005,73.2
"376","Denmark","Men","Education","Bachelor's",2005,26.8
"377","Denmark","Women","Education","Master's",2005,73.3
"378","Denmark","Men","Education","Master's",2005,26.7
"379","Denmark","Women","Education","Total tertiary",2005,73.2
"380","Denmark","Men","Education","Total tertiary",2005,26.8
"381","Denmark","Women","Humanities and arts","2-year college",2005,60
"382","Denmark","Men","Humanities and arts","2-year college",2005,40
"383","Denmark","Women","Humanities and arts","Bachelor's",2005,66.6
"384","Denmark","Men","Humanities and arts","Bachelor's",2005,33.4
"385","Denmark","Women","Humanities and arts","Master's",2005,66
"386","Denmark","Men","Humanities and arts","Master's",2005,34
"387","Denmark","Women","Humanities and arts","Doctoral",2005,43.6
"388","Denmark","Men","Humanities and arts","Doctoral",2005,56.4
"389","Denmark","Women","Humanities and arts","Total tertiary",2005,65.9
"390","Denmark","Men","Humanities and arts","Total tertiary",2005,34.1
"391","Denmark","Women","Social sciences, business and law","2-year college",2005,52.9
"392","Denmark","Men","Social sciences, business and law","2-year college",2005,47.1
"393","Denmark","Women","Social sciences, business and law","Bachelor's",2005,50.7
"394","Denmark","Men","Social sciences, business and law","Bachelor's",2005,49.3
"395","Denmark","Women","Social sciences, business and law","Master's",2005,50.6
"396","Denmark","Men","Social sciences, business and law","Master's",2005,49.4
"397","Denmark","Women","Social sciences, business and law","Doctoral",2005,41.1
"398","Denmark","Men","Social sciences, business and law","Doctoral",2005,58.9
"399","Denmark","Women","Social sciences, business and law","Total tertiary",2005,51
"400","Denmark","Men","Social sciences, business and law","Total tertiary",2005,49
"401","Denmark","Women","Science, mathematics and computing","2-year college",2005,14.3
"402","Denmark","Men","Science, mathematics and computing","2-year college",2005,85.7
"403","Denmark","Women","Science, mathematics and computing","Bachelor's",2005,32
"404","Denmark","Men","Science, mathematics and computing","Bachelor's",2005,68
"405","Denmark","Women","Science, mathematics and computing","Master's",2005,39.3
"406","Denmark","Men","Science, mathematics and computing","Master's",2005,60.7
"407","Denmark","Women","Science, mathematics and computing","Doctoral",2005,31.8
"408","Denmark","Men","Science, mathematics and computing","Doctoral",2005,68.2
"409","Denmark","Women","Science, mathematics and computing","Total tertiary",2005,32.3
"410","Denmark","Men","Science, mathematics and computing","Total tertiary",2005,67.7
"411","Denmark","Women","Engineering, manufacturing and construction","2-year college",2005,45.8
"412","Denmark","Men","Engineering, manufacturing and construction","2-year college",2005,54.2
"413","Denmark","Women","Engineering, manufacturing and construction","Bachelor's",2005,29.2
"414","Denmark","Men","Engineering, manufacturing and construction","Bachelor's",2005,70.8
"415","Denmark","Women","Engineering, manufacturing and construction","Master's",2005,33.4
"416","Denmark","Men","Engineering, manufacturing and construction","Master's",2005,66.6
"417","Denmark","Women","Engineering, manufacturing and construction","Doctoral",2005,24.3
"418","Denmark","Men","Engineering, manufacturing and construction","Doctoral",2005,75.7
"419","Denmark","Women","Engineering, manufacturing and construction","Total tertiary",2005,34.8
"420","Denmark","Men","Engineering, manufacturing and construction","Total tertiary",2005,65.2
"421","Denmark","Women","Agriculture and veterinary","2-year college",2005,46.5
"422","Denmark","Men","Agriculture and veterinary","2-year college",2005,53.5
"423","Denmark","Women","Agriculture and veterinary","Bachelor's",2005,52.1
"424","Denmark","Men","Agriculture and veterinary","Bachelor's",2005,47.9
"425","Denmark","Women","Agriculture and veterinary","Master's",2005,58.3
"426","Denmark","Men","Agriculture and veterinary","Master's",2005,41.7
"427","Denmark","Women","Agriculture and veterinary","Doctoral",2005,65.4
"428","Denmark","Men","Agriculture and veterinary","Doctoral",2005,34.6
"429","Denmark","Women","Agriculture and veterinary","Total tertiary",2005,54.5
"430","Denmark","Men","Agriculture and veterinary","Total tertiary",2005,45.5
"431","Denmark","Women","Health and Welfare","2-year college",2005,96.1
"432","Denmark","Men","Health and Welfare","2-year college",2005,3.9
"433","Denmark","Women","Health and Welfare","Bachelor's",2005,86.4
"434","Denmark","Men","Health and Welfare","Bachelor's",2005,13.6
"435","Denmark","Women","Health and Welfare","Master's",2005,67.7
"436","Denmark","Men","Health and Welfare","Master's",2005,32.3
"437","Denmark","Women","Health and Welfare","Doctoral",2005,54.8
"438","Denmark","Men","Health and Welfare","Doctoral",2005,45.2
